Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
てく,てく,1. to continue,Unlabeled,2,みんな持っ<b>てく</b>って,Bring everyone,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
英会話,えいかいわ,1. English conversation<br>2. school for English conversation,Unlabeled,2,旅の<b>英会話</b>集も,Travel English conversation book too,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
変圧器,へんあつき,1. (power) transformer,Unlabeled,2,あとコンセントと<b>変圧器</b>も,Also an outlet and a transformer.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
安心,あんしん,"1. relief, peace of mind",N4,2,やっとギー太に会えた　これで<b>安心</b>,"I finally met Gita, now I feel relieved.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
っす,です,"1. be, is",Unlabeled,2,おはよー<b>っす</b>,Good morning,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
記念,きねん,"1. commemoration, celebration, honoring the memory of something, turning something into a memento, memory",N3,2,一緒に<b>記念</b>写真　撮ろうと思って,I wanted to take a commemorative photo together.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ううん,ううん,"1. um, er, well<br>2. nuh-uh, no<br>3. oof",Unlabeled,2,<b>ううん</b>　あッ　梓もか,"Um, ah, Azusa Moka",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
揃う,そろう,"1. to be complete, to be all present, to make a full set, to be satisfied (of conditions)<br>2. to be equal, to be uniform, to be even, to match, to agree<br>3. to gather, to assemble, to be collected",N2,2,⚟唯と梓　<b>揃っ</b>たな,⚟Yui and Azusa are together.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
偶然,ぐうぜん,"1. coincidence, chance, accident, fortuity<br>2. by chance, unexpectedly, accidentally<br>3. contingency (philosophy)",N3,2,もし<b>偶然</b>　誰かミュージシャンに,If someone happens to be a musician,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
会う,あう,"1. to meet, to encounter, to see<br>2. to have an accident, to have a bad experience",N5,2,<b>会っ</b>たらサインしてもらうんだよ,"When I meet you, I'll ask you to sign it.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
駅,えき,"1. railway station, train station<br>2. staging post on a highway (in pre-modern Japan)<br>3. counter for railway stations and bus stations",N5,2,じゃあ　ムギの<b>駅</b>まで行くぞ,"Well, let's go to Mugi Station.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
忘れ物,わすれもの,"1. lost article, something forgotten",N4,2,皆さん　<b>忘れ物</b>はないですか？,Have you forgotten anything?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
歩く,あるく,1. to walk,N5,2,<b>歩く</b>廊下な,A walking hallway,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
足,あし,"1. foot, paw, arm (of an octopus, squid, etc.)<br>2. leg<br>3. gait<br>4. pace<br>5. bottom structural component (i.e. radical) of a kanji<br>6. means of transportation<br>7. money, coin",N5,2,<b>足</b>　見えてる見えてる,"I can see my legs, I can see them",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ムーン,ムーン,1. moon,Unlabeled,2,<b>ムーン</b>ウォーク　ムーンウォーク,Moonwalk Moonwalk,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ウォーク,ウォーク,1. walk,Unlabeled,2,ムーン<b>ウォーク</b>　ムーンウォーク,Moonwalk Moonwalk,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
はあ,はあ,"1. yes, indeed, well<br>2. ha!<br>3. what?, huh?<br>4. sigh",N3,2,<b>はあ</b>～　律　律,Sigh~ Ritsu Ritsu,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
機内食,きないしょく,1. in-flight meal,Unlabeled,2,すぐに<b>機内食</b>　出ますよ,The in-flight meal will be served soon.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
調べる,しらべる,"1. to examine, to look up, to investigate, to check up, to sense, to study, to inquire, to search",N4,2,し　<b>調べ</b>ましたので,"I looked into it, so",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
降りる,おりる,"1. to descend (e.g. a mountain), to go down, to come down<br>2. to alight (e.g. from bus), to get off, to disembark, to dismount<br>3. to step down, to retire, to give up, to quit, to fold<br>4. to be granted, to be issued, to be given<br>5. to form (of frost, dew, mist, etc.)<br>6. to be passed (from the body; e.g. of a roundworm)",N5,2,<b>降り</b>たらロンドンなんだよな,"When you get off, you'll be in London.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ロンド,ロンド,1. rondo,Unlabeled,2,降りたら<b>ロンド</b>ンなんだよな,"When you get off, you'll be in London.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
逆回り,逆回り,1. Reverse rotation (Auto-translated),Unlabeled,2,<b>逆回り</b>すると時間が戻るの？,Will time go back if I turn backwards?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ムービング,ムービング,1. moving,Unlabeled,2,あずにゃん　<b>ムービング</b>！,Azunyan Moving!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おお,おお,"1. large, big, great, major, important, serious, heavy, loud<br>2. older, senior<br>3. final, ultimate<br>4. rough, broad, general",Unlabeled,2,<b>おお</b>～　おおッ　雲,"Oooh, oh, clouds",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
アズキャット,アズキャット,1. Azcat (Auto-translated),Unlabeled,2,<b>アズキャット</b>,Azcat,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ジャパニーズ,ジャパニーズ,"1. Japanese (people, language, style)",Unlabeled,2,ノー　<b>ジャパニーズ</b>,No Japanese,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
オア,オア,1. or<br>2. OR (boolean operator),Unlabeled,2,チキン？　<b>オア</b>　ビーフ？,chicken? Or beef?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
エクセレント,エクセレント,1. excellent,Unlabeled,2,<b>エクセレント</b>,excellent,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もしくは,もしくは,"1. or, otherwise",Unlabeled,2,<b>もしくは</b>　梓に隠れて,Or hide in Azusa,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
起きる,おきる,"1. to get up, to rise, to blaze up (fire)<br>2. to wake up, to be awake, to stay awake<br>3. to occur (usu. of unfavourable incidents), to happen, to take place",N5,2,あずにゃん　<b>起き</b>て,Azunyan wake up,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
飛ぶ,とぶ,"1. to fly, to soar<br>2. to jump, to leap, to spring, to bound, to hop<br>3. to spatter, to scatter, to splash, to fly (e.g. of sparks)<br>4. to hurry, to rush<br>5. to flee, to run off, to escape<br>6. to disappear, to vanish, to fade, to thin out<br>7. to break off, to come off, to fall off, to blow (of a fuse)<br>8. to be sent out (of an order), to fly (of false rumours, catcalls, etc.)<br>9. to come flying (of a punch, kick, etc.)<br>10. to be missing (of a page, stitch, etc.), to skip, to jump (e.g. of a conversation)",N5,2,もっかい　唯が<b>飛ぶ</b>とこ見れるの？,Can we see Yui Mokkai fly?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
目的,もくてき,"1. purpose, goal, aim, objective, intention",N3,2,旅行の<b>目的</b>を聞かれるらしいです,Apparently you will be asked about the purpose of your trip.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
サイトシーイング,サイトシーイング,1. sightseeing,Unlabeled,2,「<b>サイトシーイング</b>」って,What is “sightseeing”?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
アム,アム,Amu,Unlabeled,2,アイ　<b>アム</b>　ブチョー！,I AM BUCHO!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
イズ,いずせんりょう,1. Maesa japonica (species of flowering plant),Unlabeled,2,イエス　シー　<b>イズ</b>　ノーパン,Yes She Is No Panties,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
下,した,"1. below, down, under, younger (e.g. daughter)<br>2. bottom<br>3. beneath, underneath<br>4. just after, right after<br>5. inferiority, one's inferior (i.e. one's junior)<br>6. trade-in<br>7. preliminary, preparatory",N5,2,わッ　私は<b>下</b>で,"Wow, I'm downstairs",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
助かる,たすかる,"1. to be saved, to be rescued, to survive<br>2. to escape harm, to be spared damage<br>3. to be helped, to be saved trouble",N2,2,柔らかくて<b>助かっ</b>たよ,It was soft and helpful,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
平気,へいき,"1. coolness, calmness, composure, unconcern<br>2. all right, fine, OK, okay",N2,2,<b>平気</b>　平気,"I'm fine, I'm fine",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
イ,イ,"1. 1st in a sequence denoted by the iroha system, 1st note in the diatonic scale (used in key names, etc.)",Unlabeled,2,<b>イ</b>　イエス,I Yes,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
えっと,えっと,"1. let me see, well, errr ..., uhh ...",Unlabeled,2,<b>えっと</b>　アールズコート,Um Earl's Court,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
結構,けっこう,"1. splendid, nice, wonderful, delicious, sweet<br>2. sufficient, fine (in the sense of ""I'm fine""), (by implication) no thank you<br>3. well enough, OK, tolerable<br>4. quite, reasonably, fairly, tolerably<br>5. construction, architecture",N5,2,あ～　<b>結構</b>いいながめだね,"Ah, that's a pretty nice view.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
見れる,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",Unlabeled,2,もっかい　唯が飛ぶとこ<b>見れる</b>の？,Can we see Yui Mokkai fly?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
残念,ざんねん,"1. deplorable, regrettable, disappointing, vexing, unfortunate",N4,2,それは<b>残念</b>ね,That's a shame,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
本,もと,"1. origin, source<br>2. base, basis, foundation, root<br>3. cause<br>4. ingredient, material<br>5. (somebody's) side, (somebody's) location<br>6. original cost (or capital, principal, etc.)<br>7. (plant) root, (tree) trunk<br>8. first section of a waka<br>9. counter for blades of grass, tree trunks, etc., and for falcons (in falconry)<br>10. handle (chopsticks, brush, etc.), grip",N5,2,憂にもらった護身術の<b>本</b>が,A book on self-defense that I received out of regret.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
靴,くつ,"1. shoe, shoes, boots, footwear, footgear",N5,2,あの　新しい<b>靴</b>で来ちゃったので,I came here with those new shoes.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
疲れる,つかれる,"1. to get tired, to tire, to get fatigued, to become exhausted, to grow weary<br>2. to become worn out (of a well-used object)<br>3. to starve",N5,2,皆さん　<b>疲れ</b>てるのに,Even though everyone is tired,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
空港,くうこう,1. airport,N4,2,<b>空港</b>でのトラウマが,Trauma at the airport,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ステージ,ステージ,1. stage<br>2. performance,N2,2,中の<b>ステージ</b>で演奏するんだけど,I'll be performing on the stage inside.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ヘイ,ヘイ,1. hey,Unlabeled,2,<b>ヘイ</b>　ユー,Hey you,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
オ,おもちゃ,1. toy<br>2. (person or thing treated as a) plaything<br>3. Toy,Unlabeled,2,ウィ　アー　<b>オ</b>客サン,We are customers,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
頑張る,がんばる,"1. to persevere, to persist, to keep at it, to hang on, to hold out, to do one's best<br>2. to insist that, to stick to (one's opinion)<br>3. to remain in a place, to stick to one's post, to refuse to budge",Unlabeled,2,<b>頑張っ</b>てくれてたもん,Thank you for your hard work.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
必要,ひつよう,"1. necessary, needed, essential, indispensable<br>2. necessity, need, requirement",N4,2,そんな審査が<b>必要</b>？,Is such an examination necessary?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
気分,きぶん,"1. feeling, mood",N4,2,<b>気分</b>が盛り上がっちゃって,I'm feeling excited,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
半音,はんおん,"1. semitone, half-tone",Unlabeled,2,<b>半音</b>の半音　ズレてる気がする,I feel like I'm off by a half step,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
スリー,スリー,1. three<br>2. 3 turn,Unlabeled,2,ワン　ツー　ワン　ツー　<b>スリー</b>　フォー,One two one two three four,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
フォー,フォー,"1. four<br>2. pho, Vietnamese noodle soup",Unlabeled,2,ワン　ツー　ワン　ツー　スリー　<b>フォー</b>,One two one two three four,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
名前,なまえ,"1. name<br>2. given name, first name",N5,2,どっかで聞いたことある<b>名前</b>だね,It's a name I've heard somewhere before.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
友達,ともだち,"1. friend, companion",N5,2,じゃあ　りっちゃんの<b>友達</b>は,"So, who are Ricchan's friends?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
勇気,ゆうき,"1. courage, bravery, valour, valor, nerve, boldness",N3,2,もう一度　入る<b>勇気</b>がない,I don't have the courage to enter again,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
とりあえず,とりあえず,"1. first of all, at once, right away<br>2. for now, for the time being",Unlabeled,2,<b>とりあえず</b>　「ごはんはおかず」を,"For now, ``Rice is a side dish.''",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
一回,いっかい,"1. once, one time, one round, one game, one bout, one heat, one inning",Unlabeled,2,邪魔になるから<b>一回</b>どこうか,"I'll get in the way, so I'll go somewhere else once.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
世界,せかい,"1. the world, society, the universe<br>2. sphere, circle, world<br>3. world-renowned, world-famous<br>4. realm governed by one Buddha, space",N4,2,<b>世界</b>が狭すぎるにも程があるな,There is a limit to how small the world is,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
勘違い,かんちがい,"1. misunderstanding, mistaken idea, wrong guess",N2,2,すいません　<b>勘違い</b>でした,"Sorry, it was a misunderstanding.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
嬉しい,うれしい,"1. happy, glad, pleased, delighted, overjoyed<br>2. joyful, delightful, gratifying, pleasant",N3,2,すぐ<b>嬉し</b>がるんだから,Because you'll be happy right away,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
準備,じゅんび,"1. preparation, arrangements, getting ready, provision, setup, reserving",N4,2,憂　本当に<b>準備</b>いいな,"Ui, I'm really ready.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
怖い,こわい,"1. scary, frightening, eerie, dreadful",N4,2,＜ゆッ　唯先輩　<b>怖</b>ッ＞,<Yuu Yui-senpai is scary>,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もっと,もっと,"1. (some) more, even more, longer, further",N5,2,《<b>もっと</b>大きな声で》,《Louder voice》,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
声,こえ,"1. voice<br>2. singing (of a bird), chirping (of an insect), hoot<br>3. voice, opinion (as expressed in words), view, wish, attitude, will<br>4. sound<br>5. sense (of something's arrival), feeling<br>6. voice, voiced sound",N5,2,《もっと大きな<b>声</b>で》,《Louder voice》,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
表紙,ひょうし,"1. cover (of a book, magazine, etc.), binding<br>2. appearing on the cover of a magazine",N2,2,♬～歴史の教科書　<b>表紙</b>の表紙より,♬～From the cover of the history textbook,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
頃,ころ,"1. (approximate) time, around, about, toward<br>2. suitable time (or condition)<br>3. time of year, season",N3,2,♬～陸に上がる前　亀だった<b>頃</b>,"♬ ~ Before going on land, when I was a turtle",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
運命,うんめい,"1. fate, destiny, lot",N1,2,♬～ねえ　この和音素敵衝撃<b>運命</b>！！,"♬~ Hey, this chord is wonderful and shocking! !",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
出逢える,であう,"1. to meet (by chance), to come across, to run across, to encounter, to happen upon<br>2. to meet (e.g. of rivers, highways, etc.)<br>3. to emerge and engage (an enemy)",Unlabeled,2,きっと<b>出逢える</b>よ,I'm sure we'll meet,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あっち,かなた,"1. beyond, across, the other side, the distance",N5,2,<b>あっち</b>会場っぽい,Looks like that venue,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
コンセプト,コンセプト,"1. concept, general idea, notion<br>2. intention, aim, design, philosophy, plan, plot, theme",Unlabeled,2,梓ちゃんに贈る曲の<b>コンセプト</b>,Concept of song given to Azusa-chan,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
浮かぶ,うかぶ,"1. to float, to be suspended<br>2. to rise to the surface, to appear, to emerge, to show up, to loom (up)<br>3. to come to mind, to have inspiration",N1,2,<b>浮かぶ</b>と思ったんだけどな,I thought it would float,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
テムズ,テムズ,Temuzu,Unlabeled,2,ロンドンアイ！　<b>テムズ</b>川！,London Eye! The River Thames!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大きい,おおきい,"1. big, large, great<br>2. loud<br>3. extensive, spacious<br>4. important, decisive, valuable<br>5. older, grown up",N5,2,名所を<b>大きい</b>声で叫んでるだけ,Just shouting out famous places,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
無敵,むてき,"1. invincible, unrivaled, unrivalled, matchless, unbeatable, undefeatable",Unlabeled,2,<b>無敵</b>になれるような,I feel like I can be invincible,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
心配,しんぱい,"1. worry, concern, anxiety, uneasiness, fear<br>2. care, help, aid, assistance",N4,2,どこ行ってたんだよ　<b>心配</b>したよ,Where were you going? I was worried.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
詳しい,くわしい,"1. detailed, full, minute<br>2. knowing very well, knowledgeable (about), well-acquainted (with), well-informed (about), familiar (with)",N3,2,☎<b>詳しい</b>ことは携帯にメールするから,☎Details will be emailed to your mobile phone.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
イエ,イエ,Ie,Unlabeled,2,<b>イエ</b>～ス　オ～　イエ～ス,"Yes, yes, yes",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ス,すじ,"1. muscle, tendon, sinew<br>2. vein, artery<br>3. fiber, fibre, string",Unlabeled,2,イエ～<b>ス</b>　オ～　イエ～ス,"Yes, yes, yes",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
切れる,きれる,"1. to break, to snap, to be cut, to split, to crack<br>2. to be injured<br>3. to wear out, to be worn out<br>4. to break, to burst, to collapse<br>5. to wear off, to stop working, to go dead<br>6. to expire (time limit, etc.), to run out, to become due<br>7. to run out (of stock, etc.), to be exhausted, to be used up, to be sold out, to be out of<br>8. to be broken off (e.g. of a relationship), to break up, to have severed ties, to be cut off, to be disconnected<br>9. to cut well, to be sharp<br>10. to be sharp-minded, to be keen, to be shrewd, to be quick-witted, to be able<br>11. to be short of, to drop under (a certain figure), to beat (e.g. a record time)<br>12. to dry off<br>13. to curve, to veer<br>14. to shuffle (cards)<br>15. to get angry, to snap, to blow one's top, to lose one's temper, to flip<br>16. to be able to do completely",N3,2,有効期限が<b>切れ</b>ちゃうのよ,It's about to expire,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
用,よう,"1. business, task, errand, engagement<br>2. use, purpose<br>3. for the use of ..., used for ..., made for ...<br>4. call of nature, excretion",N4,2,大事な<b>用</b>なら　またかかってくるわ,"If it's important, I'll call again.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
怒る,おこる,"1. to get angry, to get mad<br>2. to tell someone off, to scold<br>3. to be angular, to be square",N4,2,＜<b>怒ら</b>れちゃった＞,<I got angry>,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
全然,ぜんぜん,"1. (not) at all, (not) in the slightest<br>2. wholly, entirely, completely, totally<br>3. extremely, very",N3,2,<b>全然</b>ロックじゃないもの＞,Something that's not rock at all>,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
思いつく,おもいつく,"1. to think of, to hit upon, to come into one's mind, to be struck with an idea<br>2. to remember, to recall",Unlabeled,2,全然<b>思いつか</b>ないな,I can't think of any,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
街,がい,"1. ... street, ... quarter, ... district",N3,2,＜ロンドンの<b>街</b>みたいに,<Like the city of London,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
向ける,むける,"1. to turn towards, to point",N3,2,未来に<b>向け</b>て送ってるんだ,I'm sending it towards the future,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
出す,だす,"1. to take out, to get out<br>2. to put out, to reveal, to show<br>3. to submit (e.g. thesis), to turn in<br>4. to publish, to make public<br>5. to send (e.g. letter)<br>6. to produce (a sound), to start (fire)<br>7. to serve (food)<br>8. ... out (e.g. to jump out, to carry out)<br>9. to begin ..., to start to ..., to burst into ...",N5,2,よ～し　川上さんに返事<b>出す</b>な,"Okay, don't reply to Mr. Kawakami.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ほら,ほら,"1. look!, look out!, hey!, look at me!, there you are!",Unlabeled,2,<b>ほら</b>　早くあずにゃんも,"Hey, hurry up and see me too",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
送信,そうしん,"1. transmission, sending",Unlabeled,2,お～　未来に向けて<b>送信</b>した,Oh~ I sent it to the future,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
間に合う,まにあう,"1. to be in time (for)<br>2. to serve (suit, meet) the purpose, to be good enough, to be enough, to manage, to make do",N4,2,飛行機に<b>間に合う</b>んですか？,Will you be on time for the plane?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
何時,いつ,"1. when, at what time, how soon<br>2. normal times, ordinary days",N1,2,マキちゃん達は<b>何時</b>から？,What time does Maki and the others start?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
着く,つく,"1. to arrive at, to reach<br>2. to sit on, to sit at (e.g. the table)",N5,2,５時くらいに空港に<b>着か</b>ないと,I have to get to the airport around 5 o'clock.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
とても,とても,"1. very, awfully, exceedingly<br>2. (not) at all, by no means, simply (cannot)",N5,2,<b>とても</b>危険な気がします,I feel like it's very dangerous,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
バッチリ,バッチリ,"1. perfectly, right on the mark, spot on, bang on<br>2. enough, sufficiently, thoroughly, completely",Unlabeled,2,「<b>バッチリ</b>　ジャストフィット」,"""Perfect fit""",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
何度,なんど,"1. how many times<br>2. how many degrees (temperature, angle, etc.)",Unlabeled,2,<b>何度</b>見ても　おっきいね,"No matter how many times I see it, it's big",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大人,おとな,"1. adult, grown-up",N5,2,ちょっと<b>大人</b>っぽくしなきゃ,I need to look a little more mature,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
スタンバイ,スタンバイ,"1. standby, preparation, arrangement",Unlabeled,2,はいはい　<b>スタンバイ</b>　スタンバイ,"Yes, yes, standby, standby",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
炭水化物,たんすいかぶつ,1. carbohydrate,Unlabeled,2,♬～<b>炭水化物</b>と炭水化物の,♬～carbohydrates and carbohydrates,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
どない,どない,"1. what kind of, what sort of, what<br>2. how, in what way",Unlabeled,2,＜<b>どない</b>やねん＞,＜Where is it?＞,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ねん,ねん,"1. sense, idea, thought, feeling<br>2. desire, concern<br>3. attention, care",Unlabeled,2,＜どないや<b>ねん</b>＞,＜Where is it?＞,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
スカイハイ,スカイハイ,1. Sky High,Unlabeled,2,<b>スカイハイ</b>,sky high,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
分,ふん,"1. minute (unit of time)<br>2. fun (one tenth of a monme, 5.787 grains)",N3,2,これ　あずにゃんの<b>分</b>ね,This is for Azunyan,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おう,おお,"1. large, big, great, major, important, serious, heavy, loud<br>2. older, senior<br>3. final, ultimate<br>4. rough, broad, general",Unlabeled,2,<b>おう</b>　どこでやろう,"Oh, where should we do it?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
思い出,おもいで,"1. memories, recollections, reminiscence",N3,2,♬～ねぇ　<b>思い出</b>のカケラに,"♬～Hey, a piece of memory",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
比べる,くらべる,"1. to compare, to make a comparison<br>2. to compete, to vie",N4,2,＜あの子達　あの頃の私達と<b>比べ</b>て,<Those kids> compared to us back then,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
守る,まもる,"1. to protect, to guard, to defend<br>2. to keep (i.e. a promise), to abide (by the rules), to observe, to obey, to follow",N3,2,＜あの子達は私が<b>守っ</b>てみせる＞,<I will protect those children>,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
工事,こうじ,1. construction work,N2,2,ああ　<b>工事</b>でもしてるのかしら,"Ah, I wonder if there's some construction going on?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
輝く,かがやく,"1. to shine, to glitter, to sparkle",N3,2,♬～いつまでも<b>輝い</b>てる,♬ ~ Shining forever,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
笑う,わらう,"1. to laugh<br>2. to smile<br>3. to sneer, to ridicule<br>4. to be dumbfounded, to be flabbergasted",N4,2,♬～<b>笑わ</b>ないでどうか聴いて,♬~Please don't laugh and listen to me,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
