Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
作る,つくる,"1. to make, to produce, to manufacture, to build, to construct<br>2. to prepare (food), to brew (alcohol)<br>3. to raise, to grow, to cultivate, to train<br>4. to till<br>5. to draw up (a document), to make out, to prepare, to write<br>6. to create (an artistic work, etc.), to compose<br>7. to coin (a phrase), to organize, to organise, to establish, to found<br>8. to have (a child)<br>9. to make up (one's face, etc.)<br>10. to fabricate (an excuse, etc.)<br>11. to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion<br>12. to form (a line, etc.)<br>13. to set (a record)<br>14. to commit (a sin, etc.)",N5,15,今回のことで貸しを<b>作れ</b>ば—,If I make up my mind about this time...,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
全然,ぜんぜん,"1. (not) at all, (not) in the slightest<br>2. wholly, entirely, completely, totally<br>3. extremely, very",N3,15,スノーボードとは<b>全然</b>違う,It's completely different from snowboarding.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
コーナー,コーナー,"1. corner, bend, turn<br>2. segment (within a radio or TV program), session, column (newspaper, etc.)<br>3. area, department, section",N1,15,<b>コーナー</b>で引き離したはずなのに,I should have pulled away at the corner.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja"
かも,かも,"1. duck<br>2. easy mark, sucker, sitting duck",Unlabeled,15,こいつは　ひょっとする<b>かも</b>よ？,Maybe this guy will?,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
あんな,あんな,"1. that sort of, that kind of, like that, such, so",N4,15,<b>あんな</b>無駄にでかい体を—,Such a needlessly large body...,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
気,き,"1. spirit, mind, heart<br>2. nature, disposition<br>3. motivation, intention<br>4. mood, feelings<br>5. ambience, atmosphere, mood",N4,15,でも　<b>気</b>をつけなさい,But be careful,"#02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #12 PART 俺たちの無限大!.ja"
あなた,あなた,"1. you<br>2. dear, honey",N5,15,<b>あなた</b>にスケートを教えたのは私です,I'm the one who taught you to skate,"#04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
幸せ,しあわせ,"1. happiness, good fortune, luck, blessing",N3,14,でも　何が<b>幸せ</b>かなんて,But what makes me happy?,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #12 PART 俺たちの無限大!.ja"
初めて,はじめて,"1. for the first time<br>2. only after ... is it ..., only when ... do you ...",N5,14,<b>初めて</b>か　こういうところは,Is this your first time at a place like this?,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
滑れる,滑れる,1. I can slide (Auto-translated),N2,14,どんなときでも　スケートは<b>滑れる</b>！,You can skate at any time!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
好き,すき,"1. liked, well-liked, favourite, favorite<br>2. in love (with), loved, romantically interested (in)<br>3. faddism, eccentricity<br>4. the way one likes, (as) it suits one<br>5. refined taste, elegant pursuits",N5,14,でも　スケートが<b>好き</b>って,But I like skating,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
どっち,どちら,"1. which way, which direction, where<br>2. which one (esp. of two alternatives)<br>3. who",N5,14,≪勝つのは<b>どっち</b>だ！,≪Who will win?,"#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
足,あし,"1. foot, paw, arm (of an octopus, squid, etc.)<br>2. leg<br>3. gait<br>4. pace<br>5. bottom structural component (i.e. radical) of a kanji<br>6. means of transportation<br>7. money, coin",N5,14,スケートは　<b>足</b>もつながってないのに,"When skating, your legs aren't even connected.","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #12 PART 俺たちの無限大!.ja"
大,おお,"1. large, big, great, major, important, serious, heavy, loud<br>2. older, senior<br>3. final, ultimate<br>4. rough, broad, general",N3,14,<b>大</b>ケガにつながることもある,May lead to serious injury,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
やっぱり,やっぱり,"1. as expected, sure enough, just as one thought<br>2. after all (is said and done), in the end, as one would expect, in any case<br>3. too, also, as well, likewise, (not) either<br>4. still, as before<br>5. all the same, even so, still, nonetheless",N4,14,<b>やっぱり</b>ジョーだろ！,It's Joe after all!,"#01 PART 熱い夜に雪が降る.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
速い,はやい,"1. fast, quick, hasty, brisk<br>2. early (in the day, etc.), premature<br>3. (too) soon, not yet, (too) early<br>4. easy, simple, quick",N5,14,普通に滑っても俺は<b>速い</b>んだよ！,"Even if I skate normally, I'm fast!","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #12 PART 俺たちの無限大!.ja"
目,め,"1. eye, eyeball<br>2. eyesight, sight, vision<br>3. look, stare, gaze, glance<br>4. notice, attention, observation, eyes (of the world, public, etc.)<br>5. an experience<br>6. viewpoint<br>7. discrimination, discernment, judgement, eye (e.g. for quality)<br>8. appearance<br>9. chance to succeed, possibility<br>10. spacing (between crossed strands of a net, mesh, etc.), opening, stitch, texture, weave<br>11. grain (of wood)<br>12. eye (of a storm, needle, etc.)<br>13. intersection (on a go board), square (on a chess board)<br>14. dot (on a dice), pip, rolled number<br>15. graduation, division (of a scale)<br>16. tooth (of a saw, comb, etc.)<br>17. ordinal number suffix<br>18. somewhat, -ish<br>19. point (e.g. of change)",N5,14,それにもう　ゴールは<b>目</b>の前だ！,"Besides, the goal is right in front of us!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
先生,せんせい,"1. teacher, instructor, master<br>2. sensei, title or form of address for a teacher, master, doctor, lawyer, etc.<br>3. intimate or teasing form of address<br>4. one's elder",N5,14,やはり<b>先生</b>に頼んで,"Again, ask the teacher","#02 PART はじめてのサイコー！.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
決める,きめる,"1. to decide, to choose, to determine, to make up one's mind, to resolve, to set one's heart on, to settle, to arrange, to set, to appoint, to fix<br>2. to clinch (a victory), to decide (the outcome of a match)<br>3. to persist in doing, to go through with<br>4. to always do, to have made a habit of<br>5. to take for granted, to assume<br>6. to dress up, to dress to kill, to dress to the nines<br>7. to carry out successfully (a move in sports, a pose in dance, etc.), to succeed in doing<br>8. to immobilize with a double-arm lock (in sumo, judo, etc.)<br>9. to eat or drink something, to take illegal drugs",N4,14,勝手に<b>決める</b>な　ロボキチ！,"Don't decide on your own, Robokichi!","#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
度,たび,"1. time (three times, each time, etc.), times",N3,14,俺たちは何<b>度</b>もビーフを挑んだ,We had many beefs,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #12 PART 俺たちの無限大!.ja"
スライム,スライム,1. slime,Unlabeled,14,やったぁ！　<b>スライム</b>が魔王を倒した！,Yay! The slime defeated the demon king!,"#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #05 PART 情熱のダンシングNight!.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
フッ,フッ,"1. hah (derisively), pooh<br>2. pfft (of something disappearing), poof<br>3. huff, puff",Unlabeled,14,<b>フッ</b>　赤毛じゃねえ！　俺は暦だ！,"Huh, not a redhead! I'm Koyomi!","#03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja"
愛す,あいす,1. to love,Unlabeled,14,スケートを<b>愛し</b>てもらうことだった》,It was about getting people to love skating.”,"#04 PART 愛のマタドール、愛抱夢.ja, #08 PART 宿命のトーナメント!.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
必要,ひつよう,"1. necessary, needed, essential, indispensable<br>2. necessity, need, requirement",N4,14,中央へのパイプが<b>必要</b>なんです,I need a pipe to the center.,"#04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja"
